Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,time_diff
30.0,4.2,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,32,4.243561679265058,10.0
25.0,4.8,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,37,8.668494980576995,15.0
37.0,4.5,Sandstorms,Jam,2,Buffet,scooter,1.0,No,Metropolitian,36,14.079874308321555,15.0
36.0,4.8,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,39,5.55974580297909,10.0
22.0,4.7,Cloudy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,26,13.264433078388024,10.0
20.0,4.7,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,35,14.077483331153314,10.0
27.0,4.8,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Urban,22,3.2504103362366386,15.0
27.0,4.7,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,23,9.329921721603984,10.0
27.0,4.8,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,11,5.7233731280615165,5.0
27.0,4.0,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,18,1.028602064898916,5.0
37.0,4.4,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,49,5.134194715555483,5.0
21.0,5.0,Sandstorms,Jam,1,Drinks,scooter,1.0,No,Metropolitian,26,7.911524130863351,5.0
31.0,4.8,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,35,5.950876050753861,15.0
23.0,4.6,Windy,Low,0,Snack,motorcycle,1.0,No,Urban,15,7.177452989410838,10.0
21.0,4.7,Stormy,Low,0,Drinks,motorcycle,0.0,No,Urban,22,8.40428236928415,10.0
38.0,4.0,Sandstorms,Low,0,Snack,motorcycle,0.0,No,Metropolitian,25,2.1673865191965542,5.0
33.0,4.3,Sunny,Jam,1,Buffet,scooter,0.0,No,Metropolitian,32,14.077483331153314,10.0
29.0,4.8,Stormy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,22,6.152327843856851,15.0
20.0,4.6,Windy,Medium,1,Meal,scooter,0.0,No,Metropolitian,16,8.758609276231423,10.0
33.0,5.0,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,20,6.130157395149949,5.0
34.0,4.5,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,43,14.082702667614251,10.0
31.0,4.6,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,25,4.333814866933549,5.0
39.0,4.7,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,20,13.42843703800584,15.0
37.0,3.6,Fog,Low,1,Drinks,scooter,1.0,No,Metropolitian,36,13.326748916889288,15.0
20.0,4.8,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,14,1.0268783288909125,5.0
33.0,4.0,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,13.264045067394136,15.0
21.0,4.7,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,30,7.3539697018818995,15.0
27.0,4.8,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,15,6.159027388682493,-1485.0
29.0,4.8,Sandstorms,High,2,Drinks,motorcycle,0.0,No,Metropolitian,13,1.02531612048299,15.0
33.0,4.7,Sandstorms,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,22,10.907857013182973,15.0
30.0,4.8,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,6.363269314729354,15.0
20.0,4.6,Cloudy,Low,1,Drinks,scooter,1.0,No,Metropolitian,26,13.70038826425013,-1485.0
20.0,4.6,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,38,13.425523068628516,10.0
25.0,4.5,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,13,2.0414702203065787,15.0
36.0,4.9,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,43,13.697984086337156,5.0
31.0,4.8,Sunny,Medium,2,Snack,scooter,1.0,No,Metropolitian,19,3.182724297016657,5.0
21.0,4.6,Cloudy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,25,11.66626684510677,5.0
30.0,5.0,Sandstorms,Low,2,Drinks,scooter,0.0,No,Metropolitian,25,1.0286733449198997,15.0
36.0,4.8,Sandstorms,Low,1,Meal,motorcycle,0.0,No,Metropolitian,27,8.430841582806178,15.0
25.0,4.9,Sunny,Low,2,Drinks,scooter,1.0,No,Urban,29,8.582824041127434,10.0
34.0,4.7,Windy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,7.424839252714435,10.0
28.0,4.7,Windy,High,1,Snack,motorcycle,0.0,No,Metropolitian,14,4.24311464956358,15.0
29.0,4.9,Sunny,Jam,1,Drinks,scooter,1.0,No,Urban,19,8.666930673444881,15.0
32.0,4.7,Windy,Medium,2,Meal,scooter,0.0,No,Metropolitian,26,5.302890997588826,10.0
26.0,4.1,Stormy,High,0,Snack,motorcycle,1.0,No,Metropolitian,32,2.0509980668790737,5.0
28.0,4.6,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,18,2.0412244860304343,10.0
30.0,4.4,Sandstorms,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,41,11.553588325140687,5.0
27.0,4.6,Sunny,High,2,Snack,electric_scooter,0.0,No,Urban,16,1.0835137385223217,10.0
32.0,5.0,Sandstorms,Low,0,Drinks,motorcycle,1.0,No,Urban,25,14.047631381460285,5.0
24.0,4.5,Windy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,24,3.249566655526816,10.0
28.0,4.6,Stormy,High,1,Buffet,motorcycle,0.0,No,Metropolitian,22,4.332990612781188,5.0
33.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,27,9.748127087238126,5.0
30.0,4.5,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,20,2.1665573983932225,5.0
22.0,4.8,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,1.0456846394769557,15.0
32.0,4.8,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,20,2.2238984990192607,15.0
29.0,4.6,Stormy,Medium,2,Meal,scooter,1.0,No,Urban,18,7.585085600327021,10.0
27.0,4.9,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,30,8.665177453406972,10.0
35.0,4.5,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,6.500279843533316,10.0
22.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,15,2.9742056559605854,10.0
24.0,4.9,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,28,8.483892281323582,5.0
37.0,4.8,Sandstorms,Low,1,Buffet,scooter,1.0,No,Metropolitian,21,9.747483409196011,5.0
30.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,26,13.841956371161148,5.0
34.0,4.5,Windy,Low,1,Meal,scooter,1.0,No,Metropolitian,20,1.0861886750143577,5.0
37.0,4.7,Stormy,Low,1,Drinks,motorcycle,0.0,No,Urban,25,2.1662506414065583,10.0
22.0,4.8,Windy,Medium,1,Meal,motorcycle,0.0,No,Urban,23,3.162029670199613,5.0
24.0,4.2,Fog,Jam,1,Drinks,scooter,1.0,No,Metropolitian,40,8.955002323997148,15.0
34.0,4.5,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,47,9.033046461332631,15.0
20.0,4.6,Sandstorms,Low,1,Buffet,motorcycle,0.0,No,Urban,14,14.455331161691964,15.0
25.0,4.9,Sunny,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,22,13.264433078388024,5.0
34.0,5.0,Sunny,Low,1,Snack,scooter,0.0,No,Metropolitian,10,2.108181324219256,15.0
35.0,4.9,Cloudy,Jam,0,Drinks,motorcycle,1.0,No,Semi-Urban,51,13.786054933442925,5.0
32.0,4.7,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,28,6.671694684131345,10.0
27.0,4.9,Fog,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,40,14.086026546508112,5.0
29.0,3.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,3.110383692990152,10.0
31.0,4.8,Windy,Low,2,Snack,electric_scooter,1.0,No,Urban,15,7.375857577578848,15.0
36.0,4.8,Windy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,30,13.324195848490223,5.0
32.0,4.5,Sandstorms,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,25,14.07620674046292,10.0
33.0,4.5,Fog,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,36,8.668449767991913,-1485.0
32.0,4.6,Stormy,High,2,Meal,electric_scooter,0.0,No,Metropolitian,29,4.147640724469348,5.0
30.0,4.3,Sandstorms,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,42,7.639683078155109,5.0
27.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,22,6.120813427042734,15.0
37.0,4.7,Stormy,Medium,1,Snack,motorcycle,1.0,No,Urban,25,5.41813600283455,5.0
23.0,5.0,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,41,7.5802566770539,15.0
32.0,4.8,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,13.872529229147638,10.0
39.0,4.5,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,15,1.0835191631649983,5.0
36.0,4.6,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Urban,22,9.750375866319644,10.0
27.0,4.8,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,22,13.366874821209542,15.0
38.0,4.3,Sandstorms,Low,0,Snack,motorcycle,0.0,No,Metropolitian,28,1.0863692661633475,10.0
23.0,4.9,Sunny,Jam,2,Drinks,scooter,1.0,No,Metropolitian,22,14.11859808033144,10.0
39.0,4.6,Fog,Jam,1,Meal,scooter,1.0,No,Metropolitian,49,9.44515368780418,10.0
37.0,4.8,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,29,6.548433305316816,15.0
21.0,4.6,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,24,8.688815322502654,15.0
28.0,4.6,Windy,Medium,2,Snack,scooter,0.0,No,Metropolitian,15,12.003451922263563,10.0
20.0,4.6,Sunny,Jam,2,Snack,scooter,1.0,No,Urban,10,3.1620021430458136,5.0
22.0,4.8,Fog,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,11,5.55974580297909,15.0
37.0,4.9,Sandstorms,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,28,7.639151634451308,10.0
24.0,4.5,Fog,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,26,4.242912592244238,15.0
39.0,4.7,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,30,6.9397555206169725,15.0
22.0,4.7,Stormy,Medium,0,Snack,motorcycle,1.0,No,Urban,21,7.78364341285968,10.0
32.0,4.8,Sunny,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,18,7.34880181754548,15.0
20.0,4.7,Cloudy,Jam,0,Drinks,motorcycle,1.0,Yes,Metropolitian,47,13.36697826076041,15.0
27.0,4.9,Sandstorms,High,1,Meal,scooter,0.0,No,Urban,20,0.9910936445573444,5.0
28.0,4.8,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,14,5.106750361220468,15.0
33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,11.543370813987345,5.0
29.0,4.8,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,28,9.48585124855824,5.0
23.0,4.6,Sandstorms,High,0,Snack,motorcycle,0.0,No,Metropolitian,21,1.0863166188944358,5.0
31.0,4.5,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,42,7.14879249960969,10.0
38.0,4.8,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,18,2.172568751807809,10.0
21.0,4.8,Sunny,High,1,Snack,motorcycle,0.0,No,Metropolitian,16,4.380350105457942,10.0
20.0,5.0,Cloudy,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,27,5.415297137841897,10.0
38.0,4.9,Sandstorms,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,30,5.723357809377335,5.0
23.0,4.9,Sunny,Jam,2,Meal,electric_scooter,0.0,No,Metropolitian,13,6.220579518324816,15.0
38.0,4.8,Cloudy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,18,2.142848174019553,15.0
29.0,5.0,Sunny,Low,0,Meal,motorcycle,1.0,No,Urban,23,14.11796858451182,10.0
38.0,4.3,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,24,5.183187764268939,10.0
20.0,4.6,Stormy,High,2,Snack,scooter,1.0,No,Metropolitian,12,1.0286621805615286,10.0
34.0,4.9,Fog,Jam,1,Buffet,motorcycle,1.0,No,Urban,40,9.329272346908448,15.0
20.0,5.0,Sunny,Low,1,Drinks,scooter,0.0,No,Metropolitian,23,2.2238984990192607,5.0
34.0,4.3,Windy,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,31,6.324463080322206,5.0
30.0,4.9,Fog,Jam,1,Snack,scooter,3.0,Yes,Semi-Urban,48,8.73210213585004,15.0
37.0,4.6,Fog,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,27,5.104099395132133,15.0
