,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,time_diff
0,36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,6.716044109455043,15.0
1,21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,4.379913767787401,10.0
2,23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,9.484418097753696,10.0
3,34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,1.9080582144270624,10.0
4,24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,12.933368863024125,15.0
5,29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,9.4496648495163,10.0
6,35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,4.3451859435224245,15.0
7,33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,11.58932058412258,10.0
8,21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,3.080411581249839,15.0
9,25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,8.430768056982263,5.0
10,31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,13.264168326858234,15.0
11,37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,1.091487512073662,15.0
12,33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,14.08194792828125,15.0
13,25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,4.199338580347808,5.0
14,29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,11.915024107875778,15.0
15,27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,2.975832830138616,5.0
16,35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,9.329921721603984,10.0
17,32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,9.751868010678429,15.0
18,23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,11.594668629863715,10.0
19,31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,3.2741418365160784,15.0
