Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,time_diff
36.0,4.2,Fog,Jam,2,Snack,motorcycle,3.0,No,Metropolitian,46,6.716044109455043,15.0
21.0,4.7,Stormy,High,1,Meal,motorcycle,1.0,No,Metropolitian,23,4.379913767787401,10.0
23.0,4.7,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,9.484418097753695,10.0
34.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,20,1.9080582144270624,10.0
24.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,12.933368863024123,15.0
29.0,4.5,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,9.4496648495163,10.0
35.0,4.0,Windy,High,1,Meal,scooter,1.0,No,Metropolitian,33,4.3451859435224245,15.0
33.0,4.2,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,11.58932058412258,10.0
21.0,4.7,Windy,Jam,0,Meal,motorcycle,1.0,No,Urban,15,3.080411581249839,15.0
25.0,4.1,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,8.430768056982263,5.0
31.0,4.7,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,26,13.264168326858234,15.0
37.0,5.0,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,20,1.091487512073662,15.0
33.0,4.3,Windy,Jam,2,Meal,scooter,1.0,No,Metropolitian,39,14.08194792828125,15.0
25.0,4.0,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,4.199338580347808,5.0
29.0,4.5,Sunny,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,15,11.915024107875778,15.0
27.0,5.0,Stormy,Jam,0,Snack,motorcycle,0.0,No,Urban,18,2.975832830138616,5.0
35.0,4.3,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,9.329921721603984,10.0
32.0,4.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,47,9.751868010678429,15.0
23.0,4.8,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,11.594668629863717,10.0
31.0,4.8,Sandstorms,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,26,3.2741418365160784,15.0
36.0,4.1,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,5.183994630678046,5.0
26.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,21,5.356550363195028,10.0
38.0,4.9,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,4.284341877189498,5.0
32.0,3.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,35,12.231436295450479,10.0
32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,13.697984086337156,10.0
33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,22,7.37767994869694,15.0
20.0,4.7,Windy,High,1,Snack,scooter,0.0,No,Urban,10,4.215147617771851,10.0
35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,No,Urban,11,2.121413062604229,10.0
26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,11,2.167052574276862,15.0
35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,33,7.581108189992226,5.0
37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,9.330613547769412,5.0
28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,11.554838141677436,15.0
23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,6.2986239917342886,5.0
37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,26,4.332325602261404,10.0
33.0,5.0,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,1.036830228792858,10.0
31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,16,4.082302360082095,5.0
31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,23,11.919424924517878,10.0
25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,15,3.3358476850190417,15.0
28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,36,8.730860379505364,10.0
31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,6.220039717466584,15.0
39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,No,Semi-Urban,49,8.895591963759975,15.0
36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,30,6.671694684131345,5.0
25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,18,7.929272698366963,10.0
30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,7.255971224230515,15.0
33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,11.543370813987343,5.0
36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,17,4.216188162697179,15.0
21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,2.007931685034864,10.0
23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,15,2.2238984990192607,10.0
35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,Urban,16,4.447796794806982,10.0
39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,36,9.750351001598595,5.0
22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,4.147411756656348,5.0
32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,4.146606280078976,15.0
24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,8.895591963759975,5.0
29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,2.2238984990192607,10.0
26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,10,6.364256560639661,-1485.0
20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,5.55974580297909,15.0
35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,9.746743044305008,15.0
34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,4.114220717450104,10.0
30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,12.231436295450479,15.0
25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,11.911122133811972,5.0
25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,11.543370813987343,5.0
30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,1.9828546609540456,5.0
24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,6.364970652236749,10.0
25.0,4.8,Windy,High,1,Snack,scooter,1.0,No,Urban,19,4.284168660568131,5.0
37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,8.363552822101024,15.0
24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,1.0836918820463457,5.0
25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,11.666051241451587,15.0
32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,1.0206516099823926,10.0
38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,15,2.0507603831379524,15.0
36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,8.921840165332434,5.0
29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,5.431256546696622,5.0
36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,9.46387583165939,10.0
33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,5.4567205193861295,5.0
36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,4.344947259842689,15.0
21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,11.593529224967066,15.0
25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,19,3.1819094862357575,-1485.0
25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,1.0914177518350978,15.0
